Data,qtdCasos
2020-04-26,2
2020-04-27,26
2020-04-28,33
2020-04-29,71
2020-04-30,43
2020-05-04,76
2020-05-05,54
2020-05-06,53
2020-05-07,47
2020-05-08,106
2020-05-11,104
2020-05-12,58
2020-05-13,67
2020-05-14,31
2020-05-15,55
2020-05-18,87
2020-05-19,53
2020-05-20,61
2020-05-21,36
2020-05-22,108
2020-05-23,4
2020-05-24,1
2020-05-25,51
2020-05-26,31
2020-05-27,56
2020-05-28,25
2020-05-29,32
2020-05-30,1
2020-05-31,7
2020-06-01,33
2020-06-02,38
2020-06-03,25
2020-06-04,21
2020-06-05,28
2020-06-06,3
2020-06-07,4
2020-06-08,36
2020-06-09,27
2020-06-10,15
2020-06-11,11
2020-06-12,15
2020-06-13,2
2020-06-14,1
2020-06-15,12
2020-06-16,19
2020-06-17,19
2020-06-18,17
2020-06-19,13
2020-06-21,5
2020-06-22,12
2020-06-23,13
2020-06-24,2
2020-06-25,12
2020-06-26,16
2020-06-27,9
2020-06-29,15
2020-06-30,10
2020-07-01,22
2020-07-02,8
2020-07-03,19
2020-07-04,2
2020-07-05,4
2020-07-06,15
2020-07-07,8
2020-07-08,19
2020-07-09,11
2020-07-10,13
2020-07-11,5
2020-07-12,1
2020-07-13,23
2020-07-14,26
2020-07-15,32
2020-07-16,1
2020-07-17,15
2020-07-18,2
2020-07-19,1
2020-07-20,29
2020-07-21,24
2020-07-22,17
2020-07-23,25
2020-07-24,13
2020-07-25,5
2020-07-27,13
2020-07-28,14
2020-07-29,32
2020-07-30,17
2020-07-31,14
2020-08-01,3
2020-08-02,4
2020-08-03,24
2020-08-04,21
2020-08-05,28
2020-08-06,29
2020-08-07,29
2020-08-08,3
2020-08-09,1
2020-08-10,9
2020-08-11,22
2020-08-12,35
2020-08-13,24
2020-08-14,21
2020-08-15,1
2020-08-16,3
2020-08-17,23
2020-08-18,26
2020-08-19,45
2020-08-20,24
2020-08-21,16
2020-08-22,4
2020-08-23,2
2020-08-24,25
2020-08-25,40
2020-08-26,45
2020-08-27,18
2020-08-28,15
2020-08-29,4
2020-08-30,2
2020-08-31,19
2020-09-01,24
2020-09-02,29
2020-09-03,10
2020-09-04,32
2020-09-05,2
2020-09-08,20
2020-09-09,18
2020-09-10,26
2020-09-11,11
2020-09-12,2
2020-09-13,2
2020-09-14,14
2020-09-15,16
2020-09-16,17
2020-09-17,6
2020-09-18,13
2020-09-19,5
2020-09-20,5
2020-09-21,10
2020-09-22,8
2020-09-23,12
2020-09-24,9
2020-09-25,14
2020-09-26,5
2020-09-27,4
2020-09-28,11
2020-09-29,6
2020-09-30,7
2020-10-01,1
2020-10-02,5
2020-10-03,1
2020-10-04,2
2020-10-05,5
2020-10-06,17
2020-10-07,6
2020-10-08,12
2020-10-09,1
2020-10-11,1
2020-10-12,1
2020-10-13,10
2020-10-14,6
2020-10-15,5
2020-10-16,10
2020-10-17,4
2020-10-18,5
2020-10-19,9
2020-10-20,15
2020-10-21,15
2020-10-22,9
2020-10-23,10
2020-10-24,2
2020-10-25,2
2020-10-26,21
2020-10-27,17
2020-10-28,10
2020-10-29,11
2020-10-30,9
2020-10-31,8
2020-11-01,6
2020-11-02,1
2020-11-03,36
2020-11-04,33
2020-11-05,13
2020-11-06,33
2020-11-07,4
2020-11-08,9
2020-11-09,37
2020-11-10,67
2020-11-11,51
2020-11-12,31
2020-11-13,38
2020-11-14,2
2020-11-15,9
2020-11-16,29
2020-11-17,51
2020-11-18,60
2020-11-19,22
2020-11-20,33
2020-11-21,6
2020-11-22,11
2020-11-23,10
2020-11-24,57
2020-11-25,42
2020-11-26,30
2020-11-27,21
2020-11-28,9
2020-11-29,3
2020-11-30,15
2020-12-01,61
2020-12-02,59
2020-12-03,15
2020-12-04,25
2020-12-06,7
2020-12-07,18
2020-12-08,3
2020-12-09,37
2020-12-10,27
2020-12-11,26
2020-12-12,2
2020-12-13,3
2020-12-14,27
2020-12-15,63
2020-12-16,28
2020-12-17,13
2020-12-18,24
2020-12-19,1
2020-12-20,9
2020-12-21,24
2020-12-22,52
2020-12-23,51
2020-12-24,2
2020-12-25,1
2020-12-27,9
2020-12-28,22
2020-12-29,40
2020-12-30,36
2020-12-31,1
2021-01-02,4
2021-01-03,12
2021-01-04,34
2021-01-05,33
2021-01-07,7
2021-01-08,5
2021-01-09,7
2021-01-11,11
2021-01-12,18
2021-01-13,29
2021-01-14,8
2021-01-15,10
2021-01-16,6
2021-01-18,33
2021-01-19,53
2021-01-20,35
2021-01-21,8
2021-01-22,30
2021-01-23,3
2021-01-24,1
2021-01-25,25
2021-01-26,54
2021-01-27,31
2021-01-28,15
2021-01-29,6
2021-01-31,5
2021-02-01,30
2021-02-02,30
2021-02-03,27
2021-02-04,18
2021-02-05,14
2021-02-06,1
2021-02-07,7
2021-02-08,29
2021-02-09,36
2021-02-10,26
2021-02-11,4
2021-02-12,22
2021-02-13,1
2021-02-14,5
2021-02-15,14
2021-02-16,41
2021-02-17,31
2021-02-18,11
2021-02-19,23
2021-02-20,7
2021-02-21,8
2021-02-22,50
2021-02-23,33
2021-02-24,20
2021-02-25,10
2021-02-26,15
2021-02-27,6
2021-02-28,6
2021-03-01,35
2021-03-02,48
2021-03-03,40
2021-03-04,36
2021-03-05,19
2021-03-06,8
2021-03-07,7
